O - Maintenance of physical, chemical, biological conditions - Water conditions	EcosysServMainCondChem	Chemical condition of salt waters	31				Y
P - Maintenance of physical, chemical, biological conditions - Atmospheric composition and climate regulation	EcosysServMainCondClim	Global climate regulation by reduction of greenhouse gas concentrations	32				Y
Q - Underpinning and/or enhancing physical and intellectual interactions	EcosysServInteracPhyAll	All ecosystem services underpinning physical and intellectual interactions	33				Y
R - Underpinning and/or enhancing physical and intellectual interactions - Physical and experiential interactions	EcosysServInteracPhyRecreat1	Experiential use of plants, animals and land-/seascapes in different environmental settings	34				Y
R - Underpinning and/or enhancing physical and intellectual interactions - Physical and experiential interactions	EcosysServInteracPhyRecreat2	Physical use of land-/seascapes in different environmental settings 	35				Y
S - Underpinning and/or enhancing physical and intellectual interactions - Intellectual and representative interactions	EcosysServInteracPhyScientif	Scientific	36	Intellectual and experimental			Y
S - Underpinning and/or enhancing physical and intellectual interactions - Intellectual and representative interactions	EcosysServInteracPhyEducat	Educational	37	Intellectual and experimental			Y
S - Underpinning and/or enhancing physical and intellectual interactions - Intellectual and representative interactions	EcosysServInteracPhyCultur	Heritage, cultural	38	Intellectual and experimental			Y
S - Underpinning and/or enhancing physical and intellectual interactions - Intellectual and representative interactions	EcosysServInteracPhyEntert	Entertainment	39	Intellectual and experimental			Y
S - Underpinning and/or enhancing physical and intellectual interactions - Intellectual and representative interactions	EcosysServInteracPhyAesthe	Aesthetic	40	Intellectual and experimental			Y
T - Underpinning and/or enhancing spiritual, symbolic and other interactions	EcosysServInteracSpiAll	All ecosystem services underpinning spiritual, symbolic and other interactions	41	Symbolic			Y
U - Underpinning and/or enhancing spiritual, symbolic and other interactions - Spiritual and/or emblematic 	EcosysServInteracSpiSymb	Symbolic	42	Symbolic			Y
U - Underpinning and/or enhancing spiritual, symbolic and other interactions - Spiritual and/or emblematic 	EcosysServInteracSpiRelig	Sacred and/or religious	43	Symbolic			Y
V - Underpinning and/or enhancing spiritual, symbolic and other interactions - Other cultural outputs	EcosysServInteracSpiExis	Existence	44	Symbolic			Y
V - Underpinning and/or enhancing spiritual, symbolic and other interactions - Other cultural outputs	EcosysServInteracSpiBequ	Bequest	45	Symbolic			Y
W - Ecosystems		MS-defined features	46	Y
A - Uses and activities	ActivAll	All activities	1	Uses and activities - all	y		y
A - Uses and activities	ActivOther	Uses and activities - other	2	Other marine uses and activities	Other marine uses and activities
A - Uses and activities		MS-defined features	3	Theme (ESA)
A - Uses and activities		Type of activity (within broad category of, e.g. fisheries, tourism/recreation)	4		Y
B - Physical restructuring of rivers, coastline or seabed (water management)	ActivRestrucAll	All activities related to physical restructuring of rivers, coastline or seabed	1				Y
B - Physical restructuring of rivers, coastline or seabed (water management)	ActivRestrucLandClaim	Land claim	2	Land claim, coastal defence	Land claim, coastal defence		y
B - Physical restructuring of rivers, coastline or seabed (water management)	ActivRestrucCanalisation	Canalisation and other watercourse modifications	3	-	-		y
B - Physical restructuring of rivers, coastline or seabed (water management)	ActivRestrucCoastalDef	Coastal defence and flood protection	4	Land claim, coastal defence	Land claim, coastal defence		y
B - Physical restructuring of rivers, coastline or seabed (water management)	ActiveRestrucOffshStruc	Offshore structures (other than for oil/gas/renewables)	5	Placement & operation of offshore structures (other than for energy production)	Placement & operation of offshore structures (other than for energy production)		y
B - Physical restructuring of rivers, coastline or seabed (water management)	ActivRestrucSeabedMorph	Restructuring of seabed morphology, including dredging and depositing of materials	6	Dredging	Dredging		y
B - Physical restructuring of rivers, coastline or seabed (water management)	ActivRestrucSeabedMorph	Restructuring of seabed morphology, including dredging and depositing of materials	7	Solid waste disposal incl. dredge material	Solid waste disposal incl. dredge material		y
C - Extraction of non-living resources	ActivExtrNonLivingAll	All activities related to extraction of non-living resources	1				Y
C - Extraction of non-living resources	ActivExtrNonLivingMinerals	Extraction of minerals (rock, metal ores, gravel, sand, shell)	2	Marine mining (sand, gravel, rock)	Marine mining (sand, gravel, rock)		y
C - Extraction of non-living resources	ActivExtrNonLivingOilGas	Extraction of oil and gas, including infrastructure	3	Marine hydrocarbon extraction (oil & gas)	Marine hydrocarbon extraction (oil & gas)		y
C - Extraction of non-living resources	ActivExtrNonLivingSalt	Extraction of salt	4	-	-		y
C - Extraction of non-living resources	ActivExtrNonLivingWater	Extraction of water	5	Desalination/water abstraction	Desalination/water abstraction		y
D - Production of energy	ActivProdEnerAll	All activities related to production of energy	1				Y
D - Production of energy	ActivProdEnerRenew	Renewable energy generation (wind, wave and tidal power), including infrastructure	2	Marine-based renewable energy generation (wind, wave & tidal power)	Marine-based renewable energy generation (wind, wave & tidal power)		y
D - Production of energy	ActivProdEnerNonRenew	Non-renewable energy generation	3	-	-		y
