CodeCatalogue,Sector,Use or activity,Measure name,Status,Origin of the measure,Nature of the measure,Water body category,Spatial scope,Country,Measure Impacts to,Measure Impacts to (further details) ,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
MSFD27,Traffic,Not specified,Satellite monitoring of oil pollution from ships and offshore installations (through the European system CleanSeaNet),not specified,MSFD (Directive 2008/56/EC),technical measure,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD28,Ports,Not specified,Development and implementation of instructions and measures to prevent pollution of the waters from loading - unloading activities,"Adopted, not implemented 1b",MSFD (Directive 2008/56/EC),"administrative, technical measure",Coastal,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,1,0
MSFD29,Traffic,Not specified,Making the control of pollution from ships carrying harmful substances in packaged form,not specified,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,1,0
MSFD30,Traffic,Not specified,Making the control of pollution from ships carrying liquid substances in bulk,not specified,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD31,Ports and Traffic,Not specified,Control of pollution by oil and / or oily-water mixes,not specified,MSFD (Directive 2008/56/EC),"administrative, technical measure",Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,1,0
MSFD32,Ports,Not specified,"Use appropriate equipment in case of accidental oil spills (skimmers, bonds enclosures etc.) To limit sea pollution in the region of fishing ports","Adopted, not implemented 1b",MSFD (Directive 2008/56/EC),technical measure,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,1,1,0
MSFD33,Traffic,Not specified,"Control and reduction of pollution from diffuse sources, including atmospheric deposition of pollutants",Additional measures 2a,MSFD (Directive 2008/56/EC),"administrative, technical measure",Other,National,Bulgaria,Not specified,,0,0,0,0,1,0,0,1,0,0,0
MSFD34,Ports and Traffic,Not specified,Adoption and implementation of a Regional Action Plan for the Black Sea regarding marine litter,Additional measures 2a,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,0,0,1,0
MSFD35,Traffic,Not specified,Improving the management of waste generated by ships,Additional measures 2a,MSFD (Directive 2008/56/EC),technical measure,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,1,0,1,0
MSFD36,Ports and Traffic,Not specified,"Amending the existing legislation, where necessary, by introducing a licensing/permit regime for activities in the marine environment or other regulatory amendments",Additional measures 2a,MSFD (Directive 2008/56/EC),legislation/regulation,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,0,0,0,0
MSFD37,Ports,Not specified,Review of areas for dredging and disposal of dredge materials (suitability of existing disposal sites and proposals for new ones),Additional measures 2a,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,1,0,0,1,0,1,1,1,1,0,0
MSFD38,Ports and Traffic,Not specified,"Establishment of a register of anthropogenic impulsive and continuous noise, following standardized mandatory reporting requirements in order that he might become an operational tool",Additional measures 2a,MSFD (Directive 2008/56/EC),administrative,Other,National,Bulgaria,Not specified,,0,0,0,0,0,0,0,0,0,0,1
MSFD39,Ports,Not specified,Regulating the disposal of dredged materials,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),legislation/regulation,Not specified ,Not specified ,Cyprus,Not specified,,1,0,0,1,0,1,0,0,0,0,0
MSFD40,Traffic,Not specified,Management of waste coming from ships / boats,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Cyprus,Not specified,,0,0,0,0,1,0,0,0,0,0,0
MSFD41,Traffic,Not specified,Management of waste coming from ships / boats,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),not specified,Not specified ,Not specified ,Cyprus,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD42,Ports and Traffic,Not specified,Accident management measures,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),"administrative, technical measure",Not specified ,Not specified ,Cyprus,Not specified,,0,0,0,0,0,0,0,1,0,0,0
MSFD43,Ports and Traffic,Not specified,National contingency plan for oil pollution,Adopted and Implemented 1a,MSFD (Directive 2008/56/EC),administrative,Not specified ,Not specified ,Cyprus,Not specified,,0,0,0,0,0,0,0,1,0,0,0
