"CodeCatalogue","Country","Country","Measure Number","Measure name","Use or activity","Link to existing policies","KTMs it links to","Relevant targets","Descriptors it links to ","Relevant features from MSFD Annex III","Measure Impacts to","Spatial  scope_MSFD","Water body category","Spatial scope","Other (if applicable)","Origin of the measure","Nature of the measure","PORTS","SHIPPING","BOTH","Sector","accident management","administrative","air pollution","anchoring/mooring","awareness raising","ballast waters","construction","dredging","EU policies","hull fouling","international agreements","legislation/regulation","maintenence","marine litter","navigation","NIS","noise","pollution","regional sea convention","PSSA/ZMES","technical measures","waste management","water pollution","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TEST",1,"1b (not related to WFD)","1b (related to WFD)",2,"2a","2b","unknown","TEST","Status Resume","Status (Text)"
"MSFD31","BG","Bulgaria","BLKBG-M050-E","Control of pollution by oil and / or oily-water mixes","Not specified",,"MSFD29 Litter
MSFD31 Contamination","Target 8.1, indicators 8.1.1 and 8.2.2","D8, D10",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","administrative, technical measure",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD32","BG","Bulgaria","BLKBG-M052-E","Use appropriate equipment in case of accidental oil spills (skimmers, bonds enclosures etc.) To limit sea pollution in the region of fishing ports","Not specified",,"WFD15 Phase out priority substances","Not specified","D8, D9, D10",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","technical measure",1,0,0,"Ports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD33","BG","Bulgaria","BLKBG-M001-TRB","Control and reduction of pollution from diffuse sources, including atmospheric deposition of pollutants","Not specified",,"MSFD31 Contamination
MSFD33 Nutrient enrichment
WFD02 Nutrients from agriculture
WFD03 Pesticides from agriculture
WFD14 Research & knowledge 
WFD15 Phase out priority substances
WFD21 Urban & transport pollution","Pressure target D5
State targets 5.1.1, 5.1.2, 5.2.1, 5.2.2
Impact target 5.2.3, 5.2.4, 5.3.1, 5.3.2
Pressure target 8.1
State targets with indicators 8.1.1, 8.2.1","D5, D8",,"Not specified","Terrestrial part/ fresh waters, 
coastal  waters (WFD),
territorial waters, 
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","administrative, technical measure",0,1,0,"Traffic",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD34","BG","Bulgaria","BLKBG-M003-TRB","Adoption and implementation of a Regional Action Plan for the Black Sea regarding marine litter","Not specified",,"MSFD29 Litter
WFD14 Research & knowledge
WFD21 Urban & transport pollution","10.1.1
10.1.2","D10",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD35","BG","Bulgaria","BLKBG-M004-TRB","Improving the management of waste generated by ships","Not specified",,"MSFD29 Litter
MSFD31 Contamination","10.1.1
10.1.2
Pressure target 8.1
State targets with indicators 8.1.1, 8.2.1","D8, D10, ",,"Not specified","Coastal waters (WFD), territorial waters of Bulgaria","Other","National",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD36","BG","Bulgaria","BLKBG-M017-TRB","Amending the existing legislation, where necessary, by introducing a licensing/permit regime for activities in the marine environment or other regulatory amendments","Not specified",,"MSFD39 Other measures","All","All",,"Not specified","Coastal waters (WFD), territorial waters, EEZ (or similar)","Other","National",,"MSFD (Directive 2008/56/EC)","legislation/regulation",0,0,1,"Ports and traffic",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD37","BG","Bulgaria","BLKBG-M020-N","Review of areas for dredging and disposal of dredge materials (suitability of existing disposal sites and proposals for new ones)","Not specified",,"MSFD38 Spatial protection","1.1.1
1.1.2
1.1.3
1.2.1
1.3.1
1.4.1
1.5.1
1.6.1
1.6.3
6.1.1
6.2.1
6.2.2
7.1.1
7.2.1
7.2.2
Target 8.1, indicators 8.1.1, 8.2.1
9.1.1
9.1.2","D1, D4, D6, D7, D8, D9",,"Not specified","Terrestrial part/ fresh water, coastal waters (WFD), territorial waters","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,6,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD38","BG","Bulgaria","BLKBG-M023-N","Establishment of a register of anthropogenic impulsive and continuous noise, following standardized mandatory reporting requirements in order that he might become an operational tool","Not specified",,"MSFD28 Energy inputs","None","D11",,"Not specified","Coastal waters (WFD), territorial waters, EEZ (or similar)","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD39","CY","Cyprus",12,"Regulating the disposal of dredged materials","Not specified","Barcelona agreement","Not specified","CY146.2.1-5, CY146.3.1-6","D1, D4, D6 ","Not specified","Not specified","Not specified","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","legislation/regulation",1,0,0,"Ports",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD40","CY","Cyprus",41,"Management of waste coming from ships / boats","Not specified","MARPOL","Not specified","CY5.1-14, CY8.1-11","D5","Not specified","Not specified","Not specified","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
